wind_speed_max,wind_speed_mean,wind_direction_mean,air_temp,barometric_pressure,depth,water_temperature,specific_conductivity,pH,turbidity,organic_dissolved_oxygen_saturation,organic_dissolved_oxygen,chlorophylla,phycocyanin,flourescent_dissolved_organic_matter,log_phyco,sqrt_phyco,sqrt_turb,sqrt_DOsat,sqrt_DO,sqrt_chlorophyll
6.25,4.94,118,18.54,1017.783,1.123,20.7,338.2,8.36,1.243,99.5,8.91,0.417,0.021,2.046,0.020782539,0.144913767,1.114899099,9.974968672,2.984962311,0.645755372
6.55,5.318,93.8,18.57,1017.683,1.13,20.71,338.2,8.37,1.236,99.6,8.92,0.433,0.002,2.046,0.001998003,0.04472136,1.111755369,9.97997996,2.986636905,0.658027355
6.75,5.487,90.1,18.53,1017.799,1.13,20.76,338.3,8.37,1.28,100,8.95,0.44,0.013,2.026,0.012916225,0.114017543,1.13137085,10,2.99165506,0.663324958
6.15,5.208,93,18.65,1017.991,1.13,20.78,338.3,8.37,1.257,100.2,8.96,0.443,0.003,2.011,0.002995509,0.054772256,1.121160113,10.009995,2.993325909,0.665582452
6.95,5.565,95.7,18.39,1017.938,1.13,20.8,338.4,8.38,1.261,100.4,8.98,0.445,0.024,2.003,0.023716527,0.154919334,1.122942563,10.01998004,2.996664813,0.667083203
6.65,5.396,79.47,18.7,1018.038,1.13,20.96,340,8.39,1.313,101.5,9.05,0.511,0.042,2.06,0.041141943,0.204939015,1.145862121,10.07472084,3.008321791,0.71484264
7.6,5.974,70.28,18.61,1018.443,1.13,20.98,339.9,8.39,1.268,101.9,9.08,0.514,0.026,2.052,0.025667747,0.161245155,1.126055061,10.09455299,3.013303835,0.716937933
7.7,6.166,64.91,18.49,1018.531,1.13,20.98,340.2,8.39,1.292,102.1,9.09,0.557,0.035,2.078,0.034401427,0.187082869,1.136661779,10.10445446,3.014962686,0.746324326
7.8,6.232,71.07,18.45,1018.466,1.13,20.99,340.4,8.39,1.261,102.2,9.1,0.584,0.048,2.094,0.046883586,0.219089023,1.122942563,10.10940156,3.016620626,0.764198927
7,5.945,77.71,18.59,1018.272,1.13,20.99,340.4,8.39,1.243,102.4,9.12,0.579,0.047,2.098,0.045928932,0.216794834,1.114899099,10.11928851,3.019933774,0.760920495
6.8,5.672,80.2,18.84,1017.808,1.127,21.02,340.5,8.4,1.268,102.6,9.14,0.571,0.038,2.1,0.037295785,0.194935887,1.126055061,10.12916581,3.023243292,0.755645419
7.8,6.224,109.5,18.95,1016.824,1.112,21.23,341.1,8.41,1.227,104.3,9.25,0.553,0.029,2.07,0.028587457,0.170293864,1.10770032,10.21273715,3.041381265,0.743639698
7.1,5.631,109.7,19.19,1016.89,1.112,21.24,341,8.42,1.191,104.6,9.27,0.595,0.049,2.063,0.047837329,0.221359436,1.091329464,10.22741414,3.04466747,0.771362431
6.6,5.336,103.8,19.44,1016.901,1.117,21.28,341.4,8.42,1.205,104.8,9.28,0.599,0.044,2.085,0.043059489,0.20976177,1.09772492,10.23718711,3.046309242,0.773950903
7.4,5.136,101.9,19.65,1016.702,1.113,21.34,342,8.42,1.171,104.9,9.29,0.553,0.026,2.093,0.025667747,0.161245155,1.082127534,10.2420701,3.047950131,0.743639698
7.85,5.201,90.4,19.86,1016.719,1.117,21.35,342.4,8.42,1.173,105.1,9.3,0.606,0.039,2.143,0.038258712,0.197484177,1.083051245,10.25182911,3.049590136,0.778460018
6.4,5.108,94.5,19.94,1016.693,1.113,21.41,343,8.42,1.149,105.4,9.32,0.574,0.048,2.157,0.046883586,0.219089023,1.071914176,10.26645021,3.052867504,0.757627877
6.5,5.306,95.4,19.88,1016.588,1.117,21.45,343.8,8.43,1.146,105.7,9.34,0.595,0.051,2.185,0.049742092,0.225831796,1.070513895,10.28105053,3.056141358,0.771362431
7.1,5.614,102.9,19.9,1016.444,1.11,21.48,345.1,8.43,1.198,105.9,9.34,0.611,0.043,2.271,0.042101176,0.207364414,1.094531863,10.29077257,3.056141358,0.78166489
7.55,5.906,103.1,19.83,1016.272,1.11,21.54,346.3,8.43,1.196,106,9.35,0.644,0.055,2.343,0.053540767,0.234520788,1.093617849,10.29563014,3.05777697,0.802496106
7.95,5.84,101,19.83,1016.131,1.109,21.54,346.4,8.43,1.145,106.4,9.38,0.693,0.059,2.376,0.057325067,0.242899156,1.070046728,10.31503757,3.062678566,0.832466216
7.55,6.031,103.4,19.73,1015.918,1.109,21.56,346.8,8.43,1.115,106.6,9.39,0.694,0.073,2.386,0.070458464,0.270185122,1.055935604,10.3247276,3.064310689,0.833066624
7.3,6.052,102.5,19.69,1015.986,1.109,21.55,346.3,8.44,1.13,107,9.42,0.713,0.087,2.358,0.083421608,0.294957624,1.063014581,10.34408043,3.069201851,0.844393273
7.8,6.237,103.6,19.64,1015.787,1.107,21.59,347.1,8.44,1.136,107.2,9.44,0.732,0.077,2.413,0.074179398,0.277488739,1.065833008,10.35374328,3.072458299,0.855569985
8.4,6.741,107.9,19.39,1015.461,1.1,21.58,346.6,8.44,1.145,107.5,9.46,0.757,0.075,2.392,0.072320662,0.273861279,1.070046728,10.36822068,3.0757113,0.870057469
8.3,6.71,108.3,19.12,1015.657,1.1,21.57,346.4,8.44,1.16,107.6,9.48,0.747,0.088,2.384,0.084341148,0.296647939,1.077032961,10.37304198,3.078960864,0.864291617
8.25,6.452,111.5,19.47,1015.566,1.1,21.56,346.2,8.44,1.121,107.7,9.5,0.798,0.081,2.386,0.077886539,0.284604989,1.058772875,10.37786105,3.082207001,0.893308457
8.6,6.766,114,19.29,1015.351,1.097,21.55,346,8.45,1.116,107.9,9.51,0.751,0.073,2.389,0.070458464,0.270185122,1.056409012,10.38749248,3.083828789,0.866602562
8.9,6.902,114.4,19.43,1015.119,1.091,21.54,345.9,8.44,1.202,107.8,9.5,0.738,0.082,2.383,0.07881118,0.286356421,1.096357606,10.38267788,3.082207001,0.859069264
8.75,6.933,115.8,19.57,1014.731,1.09,21.54,345.8,8.45,1.193,107.9,9.51,0.773,0.092,2.392,0.088010877,0.303315018,1.092245394,10.38749248,3.083828789,0.879204186
8.3,6.469,113.7,19.47,1014.612,1.091,21.54,345.7,8.45,1.2,108,9.53,0.752,0.068,2.387,0.065787741,0.260768096,1.095445115,10.39230485,3.087069808,0.867179336
7.9,6.106,110,19.42,1014.504,1.091,21.54,345.6,8.45,1.189,108.3,9.54,0.743,0.067,2.382,0.064850972,0.258843582,1.090412766,10.40672859,3.088689042,0.861974478
8.45,6.273,119,19.24,1014.414,1.09,21.54,345.4,8.45,1.165,108.3,9.55,0.721,0.088,2.359,0.084341148,0.296647939,1.079351657,10.40672859,3.090307428,0.849117189
8.1,6.359,121.5,19.2,1014.299,1.089,21.53,345.3,8.45,1.179,108.3,9.55,0.689,0.073,2.368,0.070458464,0.270185122,1.085817664,10.40672859,3.090307428,0.830060239
8.25,6.306,125.5,19.14,1014.162,1.089,21.52,345.2,8.45,1.213,108.2,9.54,0.68,0.057,2.372,0.055434707,0.238746728,1.101362792,10.4019229,3.088689042,0.824621125
8.25,6.37,129.4,19.09,1013.968,1.087,21.51,345,8.45,1.229,108,9.52,0.71,0.049,2.353,0.047837329,0.221359436,1.108602724,10.39230485,3.085449724,0.842614977
7.8,6.18,127,19,1013.946,1.08,21.51,344.9,8.45,1.259,107.8,9.51,0.723,0.04,2.348,0.039220713,0.2,1.122051692,10.38267788,3.083828789,0.850294067
7.95,6.136,124.5,18.94,1014.088,1.08,21.5,344.7,8.45,1.368,107.6,9.49,0.688,0.03,2.351,0.029558802,0.173205081,1.169615321,10.37304198,3.08058436,0.829457654
7.65,5.894,124,18.89,1014.114,1.082,21.49,344.5,8.44,1.352,107.4,9.48,0.663,0.031,2.33,0.030529205,0.176068169,1.162755348,10.36339713,3.078960864,0.814248119
7.45,5.768,128.4,18.92,1014.17,1.089,21.48,344.2,8.44,1.367,107.2,9.46,0.675,0.043,2.315,0.042101176,0.207364414,1.169187752,10.35374328,3.0757113,0.821583836
7.45,5.693,123.9,18.91,1014.204,1.087,21.48,343.9,8.44,1.437,107.1,9.46,0.681,0.041,2.309,0.04018179,0.202484567,1.198749348,10.34891299,3.0757113,0.825227241
7,5.704,125.8,18.9,1013.946,1.082,21.47,343.7,8.44,1.418,106.9,9.44,0.658,0.037,2.289,0.036331929,0.192353841,1.190798052,10.33924562,3.072458299,0.811171992
6.85,5.241,127.8,18.94,1013.824,1.088,21.47,343.4,8.44,1.429,106.9,9.44,0.674,0.013,2.272,0.012916225,0.114017543,1.19540788,10.33924562,3.072458299,0.82097503
6.65,5.073,136,19.04,1013.523,1.087,21.46,343.4,8.43,1.553,106.7,9.42,0.645,0.014,2.269,0.013902905,0.118321596,1.246194206,10.32956921,3.069201851,0.80311892
6.2,5.024,194.9,20.39,1013.157,1.087,21.44,343.3,8.42,1.514,105.7,9.33,0.619,0.026,2.288,0.025667747,0.161245155,1.230447073,10.28105053,3.05450487,0.786765531
6.7,5.671,200.1,20.68,1013.157,1.081,21.44,343.3,8.42,1.452,105.5,9.32,0.599,0.021,2.29,0.020782539,0.144913767,1.204989627,10.27131929,3.052867504,0.773950903
6.7,5.523,197.8,20.71,1013.209,1.079,21.44,343.1,8.42,1.454,105.5,9.32,0.629,0.035,2.278,0.034401427,0.187082869,1.205819224,10.27131929,3.052867504,0.793095202
6.2,5.252,201,20.67,1013.031,1.08,21.43,342.7,8.42,1.433,105.5,9.32,0.613,0.022,2.256,0.021761492,0.14832397,1.19707978,10.27131929,3.052867504,0.782943165
8.3,5.589,209.9,20.66,1013.073,1.08,21.43,342.8,8.42,1.439,105.2,9.29,0.606,0.028,2.262,0.027615167,0.167332005,1.199583261,10.25670512,3.047950131,0.778460018
8.45,7.068,217.4,21.13,1012.714,1.08,21.43,342.6,8.41,1.403,105.1,9.28,0.602,0.028,2.252,0.027615167,0.167332005,1.18448301,10.25182911,3.046309242,0.77588659
9.65,7.041,220.9,21.26,1012.509,1.08,21.42,342,8.41,1.448,105.2,9.29,0.611,0.025,2.224,0.024692613,0.158113883,1.203328717,10.25670512,3.047950131,0.78166489
9.15,7.124,223.2,21.29,1012.247,1.077,21.41,341.5,8.42,1.323,105.1,9.29,0.6,0.027,2.185,0.026641931,0.164316767,1.150217371,10.25182911,3.047950131,0.774596669
9.8,7.423,229.7,21.35,1011.943,1.069,21.41,341.3,8.41,1.294,104.9,9.27,0.577,0.021,2.165,0.020782539,0.144913767,1.137541208,10.2420701,3.04466747,0.759605161
8.35,6.641,254.3,21.75,1011.763,1.07,21.39,340.2,8.4,1.191,104,9.19,0.559,0,2.135,0,0,1.091329464,10.19803903,3.031501278,0.747663026
10.7,7.448,255.2,22.14,1011.784,1.07,21.39,340.3,8.4,1.204,103.8,9.18,0.549,0.004,2.15,0.003992021,0.063245553,1.097269338,10.1882285,3.029851482,0.740945342
8.95,7.529,247.8,22.06,1011.467,1.069,21.38,340.2,8.4,1.193,103.8,9.18,0.552,0.016,2.139,0.015873349,0.126491106,1.092245394,10.1882285,3.029851482,0.742967025
8.5,7.099,244.4,21.94,1011.404,1.069,21.38,340.3,8.4,1.151,103.6,9.16,0.525,0.003,2.147,0.002995509,0.054772256,1.072846681,10.17840852,3.02654919,0.724568837
8.65,6.838,243.9,21.79,1011.409,1.068,21.37,340,8.39,1.127,103.4,9.15,0.516,0.012,2.137,0.011928571,0.109544512,1.061602562,10.16857906,3.024896692,0.7183314
9.3,7.227,238.7,21.7,1011.203,1.063,21.36,339.6,8.39,1.093,103.3,9.14,0.507,0.007,2.106,0.006975614,0.083666003,1.045466403,10.16366076,3.023243292,0.712039325
8.65,7.148,238.5,21.55,1010.897,1.067,21.36,339,8.39,1.204,103.1,9.12,0.525,0.002,2.068,0.001998003,0.04472136,1.097269338,10.15381702,3.019933774,0.724568837
9.5,7.691,239.8,21.5,1010.713,1.06,21.35,338.6,8.39,1.199,102.8,9.1,0.506,0,2.043,0,0,1.094988584,10.13903348,3.016620626,0.71133677
8.45,5.626,357.2,22.36,1016.677,1.13,23.41,338.7,8.49,1.458,109.2,9.29,0.483,0.004,1.927,0.003992021,0.063245553,1.207476708,10.44988038,3.047950131,0.694982014
8.75,6.109,351,22.4,1016.7,1.13,23.5,340.5,8.5,1.474,109.8,9.32,0.536,0.027,2.046,0.026641931,0.164316767,1.214084017,10.47854952,3.052867504,0.732120209
8.65,6.158,357.1,22.56,1016.624,1.13,23.53,341.7,8.5,1.475,110.3,9.36,0.611,0.048,2.164,0.046883586,0.219089023,1.21449578,10.50238068,3.059411708,0.78166489
9.1,6.386,352.3,22.46,1016.607,1.13,23.43,340.5,8.5,1.502,110.1,9.37,0.619,0.023,2.083,0.022739487,0.151657509,1.225561096,10.49285471,3.061045573,0.786765531
7.75,5.891,349.2,22.47,1016.538,1.129,23.28,338.6,8.49,1.56,109.7,9.35,0.613,0.031,1.946,0.030529205,0.176068169,1.2489996,10.47377678,3.05777697,0.782943165
7.4,5.248,343,22.6,1016.576,1.13,23.26,338.6,8.48,1.569,109.7,9.36,0.628,0.043,1.895,0.042101176,0.207364414,1.252597302,10.47377678,3.059411708,0.79246451
7.2,5.226,348.8,22.59,1016.441,1.127,23.31,339.5,8.49,1.561,109.9,9.36,0.646,0.051,1.986,0.049742092,0.225831796,1.249399856,10.48332008,3.059411708,0.803741252
7.7,5.656,342.3,22.65,1016.511,1.121,23.52,342.3,8.5,1.502,110.5,9.38,0.73,0.044,2.183,0.043059489,0.20976177,1.225561096,10.51189802,3.062678566,0.854400375
7.65,5.952,340.6,22.77,1016.509,1.12,24.16,348,8.55,1.825,113.6,9.52,0.952,0.14,2.65,0.131028262,0.374165739,1.350925609,10.65833008,3.085449724,0.975704873
8.05,5.589,352.8,22.79,1016.85,1.12,24.8,351.6,8.59,2.232,116.9,9.69,1.147,0.197,2.751,0.179818427,0.44384682,1.493987952,10.81203034,3.112876483,1.070980859
7.95,6.196,347.4,22.77,1016.931,1.12,24.6,350.8,8.57,2.196,116.3,9.67,1.144,0.211,2.725,0.191446465,0.459347363,1.481890684,10.78424777,3.109662361,1.069579357
7.85,5.909,348.7,22.76,1016.988,1.121,24.39,348.7,8.55,2.076,115.1,9.61,1.062,0.185,2.638,0.169742775,0.430116263,1.440833092,10.72846681,3.1,1.030533842
7,5.932,348,22.74,1016.903,1.12,24.68,348.8,8.54,2.31,115.3,9.58,0.994,0.147,2.562,0.137149838,0.38340579,1.519868415,10.73778376,3.095157508,0.996995486
7.45,5.982,347.5,22.54,1016.991,1.123,24.44,346.8,8.53,2.227,114.2,9.52,0.968,0.152,2.47,0.141499562,0.389871774,1.49231364,10.68644001,3.085449724,0.98386991
6.6,4.951,358,22.44,1017.322,1.13,24.05,343.6,8.5,2.083,112.6,9.46,0.892,0.129,2.354,0.121332285,0.3591657,1.443260198,10.61131472,3.0757113,0.944457516
8.75,5.516,29.71,21.91,1017.529,1.133,23.74,340.1,8.46,1.977,111.3,9.41,0.77,0.085,2.183,0.081579987,0.291547595,1.40605832,10.54988152,3.06757233,0.877496439
8.75,7.367,81.5,20.1,1017.543,1.14,23.59,338.3,8.42,1.976,110.8,9.39,0.756,0.083,2.016,0.079734968,0.288097206,1.405702671,10.52615789,3.064310689,0.869482605
12,8.77,62.24,19.13,1017.689,1.14,23.4,335.7,8.42,1.989,110,9.36,0.777,0.069,1.795,0.066723632,0.262678511,1.410319113,10.48808848,3.059411708,0.881476035
12.45,10.04,51.29,17.97,1017.774,1.139,23.12,332.1,8.4,1.924,108.4,9.28,0.699,0.048,1.533,0.046883586,0.219089023,1.387083271,10.41153207,3.046309242,0.836062199
12.3,9.93,50.68,17.11,1018.028,1.139,22.83,327.3,8.36,1.835,106.4,9.15,0.656,0.026,1.235,0.025667747,0.161245155,1.354621718,10.31503757,3.024896692,0.809938269
13,10.28,55.08,16.78,1018.342,1.137,22.6,323.4,8.33,1.792,104.6,9.03,0.583,0.002,1.03,0.001998003,0.04472136,1.338656042,10.22741414,3.00499584,0.763544367
5.95,4.995,113.8,18.39,1015.888,1.12,22.56,324.8,8.41,1.375,106,9.17,0.517,0.002,0.894,0.001998003,0.04472136,1.17260394,10.29563014,3.028200786,0.71902712
6.3,5.242,108.4,18.69,1015.635,1.118,22.55,324.8,8.41,1.381,106.3,9.2,0.544,0.013,0.908,0.012916225,0.114017543,1.175159564,10.31018914,3.033150178,0.737563557
6.65,5.252,102.9,19.19,1015.18,1.11,22.53,325,8.42,1.38,106.8,9.24,0.553,0.012,0.918,0.011928571,0.109544512,1.174734012,10.33440855,3.039736831,0.743639698
6.5,5.08,108.4,18.93,1015.132,1.11,22.51,325.1,8.42,1.385,107,9.26,0.557,0,0.956,0,0,1.17686023,10.34408043,3.043024811,0.746324326
6.35,5.278,105.3,19.53,1014.81,1.11,22.5,325,8.42,1.403,107.1,9.27,0.609,0.017,0.944,0.016857117,0.130384048,1.18448301,10.34891299,3.04466747,0.780384521
6.4,5.299,104.6,20,1014.593,1.107,22.51,325.3,8.43,1.384,107.3,9.28,0.551,0.006,0.95,0.005982072,0.077459667,1.176435294,10.35857133,3.046309242,0.742293742
6.55,5.452,103.9,19.99,1014.366,1.1,22.5,325.4,8.43,1.362,107.2,9.28,0.574,0.01,0.988,0.009950331,0.1,1.167047557,10.35374328,3.046309242,0.757627877
6.25,4.878,95.3,20.17,1014.522,1.1,22.48,325.2,8.42,1.385,107.1,9.27,0.556,0.006,0.992,0.005982072,0.077459667,1.17686023,10.34891299,3.04466747,0.745654075
7.85,6.707,86.6,18.6,1014.238,1.1,22.44,322.9,8.42,1.264,106.9,9.26,0.547,0.007,0.88,0.006975614,0.083666003,1.124277546,10.33924562,3.043024811,0.739594483
9.95,8.03,94.1,16.29,1015.241,1.101,21.9,324.7,8.35,10.29,101,8.84,0.458,0,1.067,0,0,3.207802986,10.04987562,2.973213749,0.676756973
9.7,7.634,97.9,16.11,1015.34,1.107,21.87,324.6,8.34,10.11,100.6,8.81,0.452,0.004,1.08,0.003992021,0.063245553,3.179622619,10.02995513,2.968164416,0.672309453
10.05,7.521,96.7,16.13,1015.592,1.103,21.8,324.1,8.33,10.54,99.8,8.76,0.447,0.007,1.047,0.006975614,0.083666003,3.246536616,9.989994995,2.959729717,0.668580586
9.85,7.197,96.8,16.2,1015.797,1.108,21.79,323.9,8.33,10.14,99.7,8.75,0.434,0.005,1.059,0.004987542,0.070710678,3.184336666,9.984988733,2.958039892,0.658786764
9.55,7.309,96.6,16.25,1015.953,1.108,21.77,323,8.32,11.67,99.4,8.72,0.412,0.008,0.976,0.00796817,0.089442719,3.416138171,9.969954864,2.952964612,0.641872261
9.85,7.895,103.8,16.33,1016.179,1.103,21.74,322.3,8.32,12.62,99,8.69,0.415,0.014,0.9,0.013902905,0.118321596,3.552463934,9.949874371,2.947880595,0.644204936
10.3,7.353,98,16.06,1017.079,1.113,21.66,319.8,8.29,12.75,98,8.61,0.369,0.002,0.745,0.001998003,0.04472136,3.570714214,9.899494937,2.93428015,0.607453702
8.35,6.638,110.2,16.74,1016.299,1.117,21.75,318.2,8.28,10.32,97.7,8.58,0.441,0.008,0.694,0.00796817,0.089442719,3.212475681,9.884331035,2.929163703,0.664078309
9.05,6.765,105.1,16.66,1015.843,1.111,21.76,318.9,8.28,10.06,97.9,8.59,0.484,0.002,0.722,0.001998003,0.04472136,3.171750305,9.894442885,2.930870178,0.695701085
8.8,6.665,95.2,16.93,1015.747,1.11,21.77,319.5,8.29,10.16,98.1,8.62,0.509,0.008,0.765,0.00796817,0.089442719,3.18747549,9.904544412,2.935983651,0.713442359
9,6.892,98.6,17.1,1015.88,1.112,21.8,320.2,8.29,9.96,98.6,8.65,0.519,0.032,0.8,0.031498667,0.178885438,3.155946768,9.92975327,2.941088234,0.720416546
8.95,6.752,92.2,17.01,1015.783,1.116,21.84,321.2,8.3,9.38,99,8.68,0.559,0.036,0.868,0.035367144,0.18973666,3.062678566,9.949874371,2.946183973,0.747663026
9.3,6.666,88.9,16.98,1015.766,1.11,21.86,321.9,8.31,9.04,99.4,8.71,0.622,0.033,0.898,0.03246719,0.181659021,3.006659276,9.969954864,2.951270913,0.788669766
8.5,6.628,87.6,16.87,1015.816,1.11,21.88,322.5,8.32,8.64,99.7,8.73,0.651,0.06,0.94,0.058268908,0.244948974,2.939387691,9.984988733,2.954657341,0.80684571
9.2,6.857,82.3,16.87,1015.735,1.11,21.88,323.1,8.32,8.87,99.8,8.74,0.741,0.069,1,0.066723632,0.262678511,2.978254522,9.989994995,2.9563491,0.860813569
8.45,6.971,83.7,16.98,1015.67,1.109,21.88,323.3,8.32,8.9,99.9,8.74,0.716,0.071,1.005,0.068592791,0.266458252,2.983286778,9.994998749,2.9563491,0.846167832
8.65,6.759,87.7,17.19,1015.647,1.11,21.91,323.9,8.33,8.61,100.4,8.79,0.757,0.066,1.027,0.063913326,0.256904652,2.93428015,10.01998004,2.964793416,0.870057469
8.3,6.613,84,17.45,1015.626,1.11,21.93,324.3,8.33,8.71,100.5,8.79,0.814,0.078,1.055,0.075107472,0.279284801,2.951270913,10.02496883,2.964793416,0.902219485
8.15,6.482,88.9,17.56,1015.487,1.11,21.99,325.4,8.34,8.27,100.7,8.8,0.834,0.1,1.142,0.09531018,0.316227766,2.875760769,10.03493896,2.966479395,0.913236005
7.8,6.519,87.8,17.79,1015.397,1.109,22.04,326.5,8.34,8.22,100.8,8.8,0.805,0.082,1.208,0.07881118,0.286356421,2.867054237,10.03992032,2.966479395,0.897217922
8.7,6.792,84.1,17.94,1015.264,1.108,22.09,327.5,8.34,8.11,100.7,8.78,0.851,0.092,1.263,0.088010877,0.303315018,2.847806173,10.03493896,2.963106478,0.922496612
8.4,6.52,83.4,17.9,1015.351,1.107,22.12,327.8,8.34,7.96,100.9,8.79,0.857,0.09,1.265,0.086177696,0.3,2.821347196,10.0448992,2.964793416,0.925742945
8.5,6.783,87.4,17.98,1015.144,1.101,22.15,328,8.34,7.852,101,8.8,0.808,0.092,1.283,0.088010877,0.303315018,2.802142038,10.04987562,2.966479395,0.898888202
